新老品标签,国家,PID,SPU,shop_name,二级类目,三级类目,店铺评分,首图 url,上架时间,商品卡日均占比,GPM分层,可用库存,销量排名,是否在联盟,商品详情页URL,营销价
新老品,US,1731899640523821919,S251010010150,Chic Curves,大码女装,女士下装,4.3,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/8b51375a58ec4b6486e88cfe005a540e~tplv-g9dfdl17fc-origin-image.image,2025/10/13,,高GPM,1633,1,In Affiliate,https://shop.tiktok.com/view/product/1731899640523821919?region=US&locale=en,23.7
新老品,US,1732098338295485006,S251128046077,ChicVibe Fashion,标码女装,女士套装及西服,4.4,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/80da0aa4a0234d928b24b9bbd46b73d9~tplv-g9dfdl17fc-origin-image.image,2025/12/1,,,6989,2,In Affiliate,https://shop.tiktok.com/view/product/1732098338295485006?region=US&locale=en,11.6
新老品,US,1732390143910580334,S260508026117,Soft Frame,标码女装,女士套装及西服,4.2,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/f3bbeaedbd944769bda9f9944897e1c3~tplv-g9dfdl17fc-origin-image.image,2026/5/13,,,2348,3,In Affiliate,https://shop.tiktok.com/view/product/1732390143910580334?region=US&locale=en,22.8
新老品,US,1732286763402563671,S260312021243,Novelife,标码女装,女士套装及西服,4.6,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/f749d3fff55747e9abcae0c8b7bfe08a~tplv-g9dfdl17fc-origin-image.image,2026/3/24,,,3984,4,In Affiliate,https://shop.tiktok.com/view/product/1732286763402563671?region=US&locale=en,21.4
新老品,GB,1729443457023904835,S241205008501,Chic Unique Designs,标码女装,女士下装,5,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/4eba5d1990ea41d6bed15573cfe951d4~tplv-g9dfdl17fc-origin-image.image,2024/12/18,,,4385,1,In Affiliate,https://shop.tiktok.com/view/product/1729443457023904835?region=GB&locale=en,9.4
新老品,US,1731425592130637993,S250616014603,Sylure,标码女装,女士套装及西服,4.7,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/de2a53258a9a45d2b40618a2a9f26f04~tplv-g9dfdl17fc-origin-image.image,2025/7/8,,,3515,5,In Affiliate,https://shop.tiktok.com/view/product/1731425592130637993?region=US&locale=en,17.2
新老品,US,1732313618323050648,S260331062310,Oohneed,标码女装,女士套装及西服,4.1,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/1b458d55e31d425db35994daea3f8f6b~tplv-g9dfdl17fc-origin-image.image,2026/4/10,,,5256,7,In Affiliate,https://shop.tiktok.com/view/product/1732313618323050648?region=US&locale=en,22.7
新老品,US,1732308776985924240,S260327056318,LILI.AN.SHOP,大码女装,女士上装,4.2,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/112a8f14e7494d8a87698210c0af637e~tplv-g9dfdl17fc-origin-image.image,2026/4/5,,,3313,8,In Affiliate,https://shop.tiktok.com/view/product/1732308776985924240?region=US&locale=en,14
新老品,GB,1729508782622612419,S250508013693,Calorie Club,标码女装,女士套装及西服,4.7,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/db875a8605a14daca0a3defc26af3125~tplv-g9dfdl17fc-origin-image.image,2025/5/15,,高GPM,10542,2,In Affiliate,https://shop.tiktok.com/view/product/1729508782622612419?region=GB&locale=en,25.1
新老品,GB,1729793508629125311,S260407049171,Evilyn chic,标码女装,女士套装及西服,4.7,https://p16-she-va.ibyteimg.com/tos-alisg-i-f7lenjegsh-sg/2e8c85dcf0de48d4b94709f8e207e704~tplv-g9dfdl17fc-origin-image.image,2026/4/15,,高GPM,2668,3,In Affiliate,https://shop.tiktok.com/view/product/1729793508629125311?region=GB&locale=en,15.5
